Impressão de campos da consulta;;;;;;;;Página: 1;

1511;471;ICMS sobre matéria prima devolvida;;Não;
1520;472;IPI sobre venda de mercadorias;;Não;
1538;501;Compras vista matéria prima conf.;;Não;
1546;503;Compras a vista embalagens conf.;;Não;
1554;504;Compras a vista mercadorias conf.;;Não;
1562;505;Compras vista produtos comb. conf.;;Não;
1570;520;Apropriação amostras grátis;;Não;
1589;531;Compras prazo matéria prima conf.;;Não;
1597;532;Compras prazo mat. sec. conf.;;Não;
1600;533;Compras prazo embalagens conf.;;Não;
1619;534;Compras prazo mercadorias conf.;;Não;
1627;544;Despesa com veículos a prazo conf. NF nº;;Não;
1635;548;Conserto e reparos a prazo no mês conf.;;Não;
1643;656;Pagamento Conta de Telefone no mês;;Não;
1660;720;Entrada de licença de uso;;Não;
1678;721;Saída de licença de uso;;Não;
1686;724;Remessa e/ou devolução conserto;;Não;
1694;725;Entrada e/ou retorno conserto;;Não;
1708;726;Outros débitos (frete) conf. art. 103 RICMS;;Não;
1716;727;Entrada de demonstração;;Não;
1724;729;ICMS sobre cesta básica;;Não;
1732;730;ICMS diversos;;Não;
1740;733;Desconto concedido sobre NF;;Não;
1759;735;Desconto concedido sobre duplicata;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 7;

Código;Apelido;Nome;;Pula complemento;
1767;741;Pagamento de juros ref.;;Não;
1775;752;Remessa e/ou devolução empréstimo;;Não;
1783;753;Retorno e/ou recebimento de empréstimo;;Não;
1791;805;Remessa e/ou retorno de beneficiamento;;Não;
1805;410;IRRF sobre serviços prestados;;Não;
1813;;Tarifa bancária;;Não;
1848;;Transferência de imóveis com açoes IGW para JRA;;Não;
1864;;Venda ref.:;;Não;
1937;;Reversão de provisão COFINS;;Não;
1945;;Reversão de provisão CSLL;;Não;
1953;;Reversão de provisão IRPJ;;Não;
1996;;Líquido de férias;;Não;
2000;RECEB;Recebimento *C ref. *N;;Não;
2003;;ISS ref.:;;Não;
2011;;IRRF sobre NF;;Não;
2020;840;Transferência entre contas;;Não;
2054;;Pagamento de IRRF s/ aplicação financeira ref.;;Não;
2063;;Transferência para encerramento do exercício ref.:;;Não;
2070;;Transferência entre contas para adeq. L. 11.638/07;;Não;
2097;IPIVDAS;IPI sobre vendas;;Não;
2119;;Transferência entre contas ref. consolidação;;Não;
2135;DVIPI;IPI sobre devolução;;Não;
2178;ALIM;Gastos com Alimentação;;Não;
2186;PASSAGENS;Gastos com passagens;;Não;
2194;INSSPROL;INSS sobre pró-labore ref. mês:;;Não;
2208;INSSSAL;INSS sobre salários ref. mês:;;Não;
2216;VALETRANS;Pagamento de vale transportes;;Não;
2224;HONOPG;Honorários a pagar ref. mês:;;Não;
2232;TASIC;Tarifas bancárias ref.:;;Não;
2283;PIRRF;Pagamento de IRRF ref.:;;Não;
2313;SIMPLES NAC;Simples nacional ref. mês:;;Não;
2321;SIMPLES NAC P;Pagamento de simples nacional ref.:;;Não;
2348;CTRCREC;Frete a receber ref. CTRC n°:;;Não;
2356;CREDPRE;Crédito presumido ICMS ref.:;;Não;
2364;DESCFARM;Desconto farmácia ref. mês:;;Não;
2372;DESCSUSP;Desconto dias suspensão ref. mês:;;Não;
2380;INDT;Indenização término de contrato antecipado ref.:;;Não;
2399;GRATIF;Gratificação ref. mês:;;Não;
2410;PGTOVEIC;Pagamento de aquisição de veículos;;Não;
2429;FINAN;Despesas ref. financiamento n°:;;Não;
2445;PGTOPAR;Pagamento de parcelamento;;Não;
2488;INSSAUX;INSS sobre auxílio maternidade;;Não;
2496;TCFA;Taxa controle fiscal e ambiental a pagar;;Não;
2500;PTCFA;Pagamento de taxa de contribuição fiscal ambiental;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 8;

Código;Apelido;Nome;;Pula complemento;
2534;PENSAO;Pensão a pagar ref.:;;Não;
2542;PENSAOO;Pagamento de pensão ref.:;;Não;
2550;TRANSFER;Transferência do lançamento:;;Não;
